Title,Text,Date,Rating
Classic Art Nouveau architecture with charming and amusing details,"Eminently walkable Riga rewards your urban treks in many ways.  The stroll from Old Town through the pleasing and varied Kronvalda Park, with its treelined paths, statues, and playgrounds, brings you to Alberta Iela, the justly reknowned Art Nouveau street in an upscale residential neighborhood.One building after another sparkles with interest, but only if you take your time to notice the myriad carved stone details – charming, amusing, and even ribald.  It would be easy to just glide past these treasures, head down, quickly rushing toward another destination thinking this was just another street with turn of the 20th Century apartment blocks like you find in many other major cities.  However, as one of the major cities of the Russian Empire, Riga connected to international artistic trends, embraced Art Nouveau to a greater degree than any other city and developed its own variants.  The style accounts for one third of all of the buildings in central Riga – the highest such concentration in the world.This history has some interest unto itself, but the history and the fact that its Art Nouveau landmarks contributed to Riga’s designation as a UNESCO’s World Cultural Heritage site wouldn’t be much if it were not for the breathtaking stylistic breadth, creativity and beauty of the buildings.  They drive the real interest; but only if you pause and take the time to look up and see the stone decorative elements at the corners, along the roof line, and framing the doors and windows.  An endless array of stone carvings – some grand and some tiny, some ravishing and some charming, some grim and some fanciful.When you return to the other parts of the city, keep your Art Nouveau eyes peeled.  Thanks to Alberta Iela, you will see much more.",Sep 2019,4.0 of 5 bubbles
Cool Art Nouveau street,"Interesting Art Nouveau concentration of buildings; worth a visit , although some of the buildings could be cleaned up. Go from there to the Skyline bar at the Radisson blu hotel for great cityscape views",Dec 2019,4.0 of 5 bubbles
Beautiful Architecture!,Really enjoyed wondering the Art Nouveau street. The buildings are just so beautiful and with such amazing charming Architecture. A must do while in Riga.,Dec 2019 • Couples,4.0 of 5 bubbles
Lovely art noveau,A lovely short street with lots of buildings in different subtypes of art noveau style. A must-see. It is a few minutes away from the Esplanade park.,Dec 2019,5.0 of 5 bubbles
Must see,"Both day and night views are perfect. The street itself is rather short, but each house on it deserves to be viewed thoroughly",Nov 2019,5.0 of 5 bubbles
Beautiful houses,Beautiful street to walk looking at the Art Nouveau buildings. Also the museum tells you more of the Art Nouveau movement.,Nov 2019 • Couples,5.0 of 5 bubbles
Architectural Wonders- Eclectic Art Nouveau Buildings!,"A Must See walk down this short street fronted on both sides by incredible Art Nouveau buildings with fanciful; detailing, interesting doorways and ""caryatid "" type figure holding up balconies.. There are also a few others along Streinieku iela. Construction on these apartment type buildings began around 1901 at the turn of the century, and the street is named after Bishop Albert, who founded Riga in 1201.  roughly about 15 buildings or so. Structural and decorative elements highlight the facades, with a romantic nationalist quality. This area is often  referred to also as the Juden , or Jewish Quarter.  Highly recommended!",Aug 2019,5.0 of 5 bubbles
Beautiful architecture.,"A short street with a number of beautiful art nouveau buildings.  Easy to fine, really the center of several streets in the area with great art nouveau buildings.",Oct 2019 • Couples,5.0 of 5 bubbles
Jaw dropping art nouveau architecture,Probably the most spectacular art nouveau architecture I have seen.You cannot visit Riga without having a look at this fantastic street.,Oct 2019 • Couples,5.0 of 5 bubbles
Architecture,One of a couple of streets to visit when you are in Riga. Must be hard to live in those beautiful houses on this street.Every time you look out a window a bunch of people pointing cameras at your windows. Go there and enjoy.,Oct 2019 • Friends,5.0 of 5 bubbles
a very nice street,all the architecture is kept well the street is very clean you walk there admire thos building whiche are a nice one as anotger,Sep 2019,4.0 of 5 bubbles
A strret full of Art Nouveau architecture,"An amazing sight of Art Nouveau buildings lining both sides of the street.  Some have been spruced up in pastel colours, bringing out their incredible features.",Sep 2019,4.0 of 5 bubbles
"IF YOU LOVE ARCHITECTURE, THIS IS YOUR PLACE","one of the best spots in Riga, amazing architecture and a wonderful atmosphere. I suggest the free walking tour, it's definitely worth it and the guy explains everything with passion and attention.",Aug 2019 • Solo,5.0 of 5 bubbles
UNESCO site for art deco architecture,"I do not think that there is any other street in the world that has such a concentration of art deco architecture.  Start here, and then if you are interested, visit other art deco buildings scattered throughout Riga.",Sep 2019,5.0 of 5 bubbles
Classic Riga architecture,Classic Riga high quality attraction within the UNESCO World Heritage site area. Easily accessible from most lodging.,Sep 2019 • Couples,4.0 of 5 bubbles
Worth the walk over from the Old City,"A small street lined with interesting Art Nouveau bulidings that is definitely worth the walk over from the Old City. Once you've walked up (and down) the street, spend some time strolling around more of the area as it's amazing as well. The Art Nouveau Centre should be on your list too if you are interested in this period of architecture.",Sep 2019,5.0 of 5 bubbles
The street in Riga. Do not miss this one,It is a must for every visitor to Riga. The best Art-Neveo. Every house is special.Films are taken on this street,Aug 2019,5.0 of 5 bubbles
History is here very close and small oases to be found...,"Alberta street is but one of several locations for Jugend Stihl, but the most predominant. One of my friends lives there, another had his offices there turning-of-the-century, the Stockholm School of Economics is housed there, as is the Law School and now very great looking a region. The roads are small and quiet, especially  by night, there are interesting small restaurants and cafe's with their own concept - it sports a cigar tasting shop with a most amicable senior lady host who speaks English and serves beer at very good prices, there is friendliness in the air and the client may stay long ( have written about them earlier this year - maybe in April/May). The ornaments on the few houses we speak of are rich in imagination, if not a Gaudi - still beautiful and in great condition again. If you go to the adjacent street Elisabete near Antonijas, you have a nice blue/grey house and if on the fringe of the Old Town, the French Embassy - it makes your heart beat faster...and my French connections stir...you wish to stand and look for hours..and time loses its consequences..",Aug 2019,4.0 of 5 bubbles
Must see if in Riga!,Lots of pretty art nouveau buildings. Very unique district and must see when in Riga. The area is close by the Andrejsala where we had an amazing lunch in restaurant overlooking the river.,Aug 2019 • Couples,5.0 of 5 bubbles
Riga’s contribution to architectural illumination,Alberta Iela and Elizabetes iela and the surrounding streets are a must see for anyone passing through Riga. The brilliant art nouveau buildings are a fantastic contribution of Riga to the art world with so many styles and colours on every corner and location.,Aug 2019 • Couples,5.0 of 5 bubbles
Worthwhile if you love Art Nouveau,This is THE street for beautiful and varied Art Nouveau buildings. There are flamboyant structures such as the Irish embassy and next to it a rustic Latvian version of Art Nouveau. We were taken here as part of the extremely good free walking tour on Art Nouveau..,Aug 2019,5.0 of 5 bubbles
Great Art Nouveau architecture,"The street is short and close to Old Town, and presents a very good array of Art Nouveau architecture with mostly renovated buildings. It’s very helpful to have a guide (or good guide book) to explain the architecture and responsible architects. It’s a beautiful street that is not heavily traveled by vehicles, so it’s easy to cross back and forth between both sides of the street",Aug 2019 • Couples,4.0 of 5 bubbles
Brings a Smile to Your Face,"To walk down this street on a sunny day uplifts the heart,  The style is unmistakable. The restoration work commendable.",Aug 2019 • Couples,5.0 of 5 bubbles
Gem upon gem,Take a walk through history - plain it is not! Some amazing buildings of their era worth going a little beyond the usual tourist tracks.,Jul 2019 • Couples,5.0 of 5 bubbles
Gorgeous Art Nouveau architecture,"Riga has many splendid Art Nouveau buildings and none more so than in this small street in the Quiet Centre. Within walking distance of the Freedom Monument the nearby streets also have plenty of good examples but Alberta Iela is the best concentration. It is good to see that most have been well restored although a few remain to be worked on. Also all appear to be used as private accommodation on upper levels with some commercial premises, galleries etc at street level. Well worth a visit if urban architecture appeals to you, this is so much better than most of what is built today.",Jun 2019 • Solo,5.0 of 5 bubbles
Beautiful art nouveau building around the street.,There are lots of beautiful art nouveau style buildings around this street. Good place for the people who are interested in architecture.,Jul 2019 • Solo,4.0 of 5 bubbles
Lovely buildings but badly maintained.,"Art Noveau features are lovely but lots of missing render, broken pavement and unloved facades. Museum was meant to open at ten but failed to do so and there were lots of frustrated tourists having to make a second trek to the area.",Jul 2019 • Couples,3.0 of 5 bubbles
Amazing Architecture!,"Riga’s architecture is splendid - particularly in the Alberta Iela neighborhood. Don’t miss taking a stroll to see the beautiful buildings in this area. And be sure to visit the museum that includes a magnificent Art Nouveau staircase and the apartment of Konstantins Peksens, who designed 250 buildings in Riga.",Jun 2019 • Friends,5.0 of 5 bubbles
Showcase of art nouveau,Really interest place if you are interested in architecture. Recommend to do it with a guide that can tell you more about art nouveau,Jun 2019 • Solo,3.0 of 5 bubbles
Stylish Architecture,We enjoyed taking at leisurely walk through this beautiful street in the morning when there were not very many tourists. The interesting and unique facades on the buildings are worth visiting for.,Sep 2018 • Couples,4.0 of 5 bubbles
Marvellous buildings,There are a lot of different buildings along both sides of the street and each one is nothing like that last while still all being the same style. Very interesting patterns and colours and extremely intricate art nouveau.,Jun 2019 • Couples,5.0 of 5 bubbles
"Art Nouveau, the other main street","Price: freeDescription: a whole street of Art Nouveau buildings just around the corner of the “postcard” building of RigaI would highly recommend a visit to this street and the surrounding area as there is a lot of beautiful architecture waiting to be seen, beautiful parks and plenty of souvenir shops. There’s also an Art Nouveau museum if you are super keen (very small though).I would also highly recommend the free 3pm Art Nouveau tour - our guide Kasbar was amazing and very knowledgeable. A great way to see this street and the other main Street in two hours with a lot of background information.A must in Riga!",Jun 2019 • Couples,5.0 of 5 bubbles
So much in so short a street,"One can’t get over the number of fantastic facades in one block , it is amazing. Other streets have some examples of Art Nouveau but this is the one to see. The only disappointment is there has to be great stuff inside, but there is little to see.",Jun 2019 • Friends,5.0 of 5 bubbles
Beautifully restored and preserved art nouveau buildings,Riga reportedly has the highest concentration of art nouveau buildings anywhere and the best examples are on this tiny little street. It’s quite breathtaking as you approach and see all the colours and carvings. Even if you don’t have much interest in architecture - this little street is worth making a detour for. Definitely stop by the museum if you have time - the video is highly informative and the staircase is quite a sight!,May 2019 • Friends,5.0 of 5 bubbles
Art Nouveau In Albert Street,Albert Street is a short street a few blocks away from the Old town in Central and has some very interesting Art Nouveau buildings that should be seen.This part of Riga was in some ways better than the old town with the some classy buildings and restaurants and also some places of history.Definitely worth the walk.,Jun 2019 • Couples,4.0 of 5 bubbles
Quite short street,"Art Nouveau, Jugendstil, whatever you call it... its amazing art. I was only disappointed from the legnth of the stree. Reading all the tourist guide one gets the impression it is miles long...",Jun 2019 • Family,3.0 of 5 bubbles
Must see if You are in Riga,"Beautiful street, with amazing buildings. You just definetely should take some walking tour in that region of Riga. Buildings are very beautiful",May 2019 • Solo,5.0 of 5 bubbles
Beautiful,Picturesque street with lots of interesting buildings. So much detail in one place. An easy walk from the Old Town.,May 2019 • Couples,5.0 of 5 bubbles
Riga has style!,This seems to be a collective of the nicest neveau and bohemian style buildings Europe has to offer! There seems to be widespread restoration of the these buildings and albert street shows off some of its glory days,May 2019 • Couples,4.0 of 5 bubbles
Prepare to have a sore neck,Walking through Alberta Iela takes a LONG time and makes your neck hurt. Why?Because all the buildings are amazing and it takes time to notice each and every carving & statue on the walls!,Apr 2019 • Friends,5.0 of 5 bubbles
Street full of beauty,This street is full of amazing art nouveau buildings you wouldn’t want to miss while in Riga. At the end of the street there is also the Art Nouveau Museum worth visiting.,May 2019 • Couples,5.0 of 5 bubbles
Fabulous Art Nouveau architecture,Definitely worth a walk down this street. The architecture is amazing and there is a lovely Art Nouveau gift shop at the end of the street. Well worth some photographs,Apr 2019 • Couples,5.0 of 5 bubbles
Beauty beauty beauty,It's one of the most amazing areas of Riga. Absolutely stunning! All the buildings are just pure masterpieces!,Mar 2019 • Couples,5.0 of 5 bubbles
Art Nouveau Your Heart Out,"Fortunate to be able to get an apartment right next to the famous “Riga’s Gaudi” Art Nouveau masterpieces on 10A and 10B Elizabetes Iela. The other side of the block, Alberta Iela has more concentration of the magnificent buildings, and that was something we were able to admire every day as we walk past it to go about our business. During our few days there, we never got tired of looking at the structures of the buildings and we were just in constant awe irrespective of us not being art enthusiasts. It’s bang on in the City Centre and about 10-15 minutes walk from the Old Town (yes, they’re two different places!)",Mar 2019 • Friends,5.0 of 5 bubbles
Underrated,"The best quartier in Riga. Quiet, beautiful. Next to a really nice park. This is a top spot for art and architecture lovers",Mar 2019 • Solo,5.0 of 5 bubbles
Historical Wonder,Something you really shouldn't miss on a trip to Riga.  Lots of terrific history in the buildings.  Get a guide who can point out the meaning of the architectural details and make it worthwhile.,Jan 2019 • Family,4.0 of 5 bubbles
Not to be missed,the mostly restored apartment buildings on Alberta Iela are a brilliant testimony to the wealth of fin de siecle Riga. they are some of the most beautiful art nouveau monuments anywhere.,Mar 2019 • Solo,5.0 of 5 bubbles
Truly impressive.,"Walking through the area of Alberta iela, Elizabete Iela and Strēlnieku Iela, you cannot stop to admire the buildings. Take your time and have a walk!",Jan 2019 • Couples,5.0 of 5 bubbles
"Intresting houses, architecture.","Must see in Riga, if you like Art Nouveau architecture. There is a Museum of Art Nouveau culture with clothes, dishes, furniture and others. The street is not long, is near the Old City (Vecriga), you can go by foot 10 minutes. Part of houses are renovated, part not until  jet.",Jan 2019,5.0 of 5 bubbles
Art Nouveau,"The street lined by beautiful Art Nouveau buildings in a really nice neighborhood, which make the city famous for such an architectural style and a Unesco world heritage site.",Mar 2018 • Couples,5.0 of 5 bubbles
Walking in beauty,"It is a Lovely street with Art Nouveau buildings, Charming, need to watch and study each Building, one after another, you won’t get bored.It is a Must see if you are in your First visit to Riga and have enough Time",Jul 2018 • Couples,4.0 of 5 bubbles
Stunning Street!,It was a 15-20 Minute walk from the city centre. Well worth it though. The architecture is absolutely stunning. Also lots of really lovely cafes to take a look at whilst you are in the area.,Jan 2019 • Couples,5.0 of 5 bubbles
Very beautiful,"Do you like to see a lot of details on buildings? This is the place to go. Stroll on both sidewalks and finally enter the museum, which is in a first-floor huge apartment. Hear the story of how this place survived 45 years of Russian occupation. The staff are clad in clothes from the epoch.",Jan 2019 • Friends,5.0 of 5 bubbles
Best of Art Noveau Architectures,We visited Riga in May 2018 and we were so taken by the architectural richness of the city.  It has the greatest concentration of Art Nouveau-style architecture of any city we have ever been and it is truly a feast for the eyes!  We learned so much about Art Nouveau and the main figures who were instrumental in shaping this movement.  Alberta and Elizabetes Iela are full of fine examples of Eisenstadt's works and our guide did an extraordinary job in pointing out various expressions of the period style ranging from the more classical to ornate to whimsical motifs. We signed up for the tour at the spur-of-the-moment at the Tourist Info Office (main square) and we were lucky they were able to accommodate us. It ended up being a private tour with just my husband and I.  Lots of walking but totally worth it.  This part of Riga is a gem and definitely one not to be missed!,May 2018 • Couples,5.0 of 5 bubbles
Art Nouveau architecture and buildings.,Mainly this one street but there are a few other buildings nearby.If you are a fan of art nouveau buildings this is a must.,Jan 2019 • Solo,4.0 of 5 bubbles
A reason for visiting Riga,"This is a fascinating street for everyone interested in architecture and the built environment.  It is an astonishing eclectic mix of architectural styles from the art nouveau period.  We had our own guide who pointed out the phases of style beginning with Classicism, Historicism, Art Nouveau, Riga Eclectic, National Romanticism, Riga Linear and Neo-classical.  I would strongly recommend having a good guide if you want to know what you are looking at and to get the most out of your visit.",Jan 2019 • Couples,4.0 of 5 bubbles
If you enjoy architecture then do go,The museum located at one of the corners is impressive to show the typical elite apartments of the day. Wonder around the streets to see the Art Nouveau,Jan 2019 • Solo,5.0 of 5 bubbles
Very beautiful and unique architecture,"We had a great time strolling this street, enjoying the beauty of the buildings. Many interesting and eye-catching details.",Dec 2018 • Couples,5.0 of 5 bubbles
Only a street but what a street!,Look up and enjoy the wonders of genuine architectural wonder. I know lots of Riga was destroyed in the war but this is a must do stroll!,Sep 2018 • Business,5.0 of 5 bubbles
Art Nouveau atmosphere,An inetresting stroll for every season is that at Alberta iela and neighbouring roads. It's an open air museum with so many interesting buildings.It's accessible on foot from the old city.,Dec 2018 • Business,5.0 of 5 bubbles
If you like architecture,"I went there in the winter time. Its getting dark at 3,4 pm. Couldn't see much. Dont go to the Museum.  It is tiny n not worth visiting.  It costed me €5.",Dec 2018 • Solo,3.0 of 5 bubbles
Unique and Interesting,"We had  a tour according to a tour I from the Art Nouvo Museum site with landmarks and route and explanations.(there are at least 10 different tours, I downloaded 4 of them). Houses and buildings are breathtaking, the street and surroundings are full of this beauty. Don't miss house No. 12 where the museum is located.",Dec 2018 • Friends,5.0 of 5 bubbles
A different Riga,After staying in the Old Town it was great to experience this different part of Riga! The buildings are extravagant and lovely to look at! It's lined with cafes and restaurants so you can make plenty of stops along the way.,Dec 2018 • Friends,5.0 of 5 bubbles
Lots of shops,Place you can hang out and check out local shopping scene and some local art. Lots of cool cafe and restaurants,Sep 2018 • Solo,3.0 of 5 bubbles
A must see when in Riga,The city is one the hot spots of art nouveau ((And no need to flood each and every point to be reviewed with at least 100 characters),Nov 2018 • Solo,5.0 of 5 bubbles
Incredible buildings,Incredible art nouveau buildings that somehow survived both Nazism and Communism. Its close to the old town and definitely worth a visit. Plenty of nice restaurants close by aswell.,Oct 2018 • Friends,4.0 of 5 bubbles
"Nice architecture, ultimately just a street",If you are in the area I would drop by. The buildings are lovely and unique. I would not make a large detour to go see this street.,Oct 2018 • Couples,4.0 of 5 bubbles
Architecture,Recommend to visit for those who appreciate architecture. Not sure which one but some guided tours include this street for visits,Oct 2018 • Solo,5.0 of 5 bubbles
Art Nouveau heaven,The very beautiful Art Nouveau buildings lying on the Alberta Iela make it one of the most interesting streets in Riga. Definitely worth a walk. Don't forget your camera.,Oct 2018 • Couples,5.0 of 5 bubbles
Art Nouveau,if you are into Art Nouveau architecture then you have to visit this street. Beautiful examples of the style.,Oct 2018 • Friends,5.0 of 5 bubbles
What wonderful architecture,"This has to be one of the most interesting streets in any city in the world. The art neuveax buildings are stunning. At the time Of my visit in Mid Oct ‘18 some of the buildings had scaffolding and netting which meant the full glory of the street couldn’t be seen properly, but even so it is well worth seeing.",Oct 2018 • Friends,4.0 of 5 bubbles
Art Nouveau Architecture  without parallel!,This street must have the best examples of art nouveau architecture in the area. Each building seems  to surpass the next in decorative ornamentation.  Simply sensational!,Oct 2018,5.0 of 5 bubbles
Gorgeous buildings,"If you're interested in architecture this is a must. Beautiful building, I highly recommend a stroll",Oct 2018 • Friends,5.0 of 5 bubbles
In short: a must!,Riga is rightly famous for its art nouveau architecture and this is the finest street to admire it. Makes you happy to see how these fine buildings one by one have been restored since the '90ies.,Sep 2018 • Friends,5.0 of 5 bubbles
Must visit for Art Nouveau fans,"This is the area where many of Riga's Art Nouveau buildings are situated and it makes for a fascinating walk. Some of the properties are incredible. At the end of the road is an Art Nouveau Museum, which is worth a visit, too.",Oct 2018 • Couples,5.0 of 5 bubbles
Must see!,"The houses at Alberta Iela are great examples of the none too subtle Art Noveau architecture. The splendour of the architecture can be seen in almost all the buildings in this street, some  of which have been renovated and some more were under renovation during our visit. The street is quiet with minimal traffic, which creates a perfect setting for Art Noveau gazing!",Sep 2018 • Family,5.0 of 5 bubbles
This and Elizabeth Street.,A must do while you're in Riga. Easy walk from the city centre. Take a nice easy stroll and stop to look at each building.,Sep 2018 • Couples,5.0 of 5 bubbles
Wonderful architecture with so much symbolism,The buildings around this street and indeed the whole area are simply stunning - I have travelled all across Europe and indeed the world and never seen anything like this! Each house is different with so much symbolism and so many wonderful colours - each so full of character. I didn't get to see the Museum unfortunately or sample the cafes and restaurants of which there are a few with tempting smells - the only downside of this area as others have said is the annoying tour groups. I guess I can't complain too much though as I am a visitor myself - although there is only one of me and I don't block the pavement causing an obstruction for everyone else! I tend to just barge though them and give them a taste of their own medicine.,Jul 2018 • Solo,5.0 of 5 bubbles
Beautiful Art Nouveau buildings,Alberta Iela has probably the best selection of stunning Jugenda Stila buildings in the world - not to be missed on a visit to Riga.,Jun 2018 • Couples,5.0 of 5 bubbles
Одно  из самых замечательных мест. Must see!!!,"We visited Riga in August 2018. Alberta Street is one of the most beautiful places I have ever visited at all. The beauty of the buildings is so impressive that you think it's not real !!! Tourists stand in front of every building and take pictures! And this is a whole street !! Hard to imagine, must see.",Sep 2018 • Couples,5.0 of 5 bubbles
Beautiful. Amazing spots for dining.,"Beautiful street. Buildings made in Jugendstyle. Cozy, calm area with a whole lot of great cafes and restaurants.",Sep 2018,5.0 of 5 bubbles
Nothing special,I went there because I’ve heard a lot about it. But when arriving I was surprised. First I wandered around asking people how to find the street they were all saying I was on it. I didn’t get that it was just few nice buildings and nothing else. I guess it all depends on what you compare to but I expected more than just few houses. So don’t go far just for that. But if you are in the neighborhood then check it out.,Sep 2018 • Friends,3.0 of 5 bubbles
Beautiful architecture,The buildings are gorgeous and it’s fun to just wander on your own and enjoy them. The Art Nouveau museum has a great self guided tours. I walked from the old town and started my self tour around 10:30am.  I didn’t find the guided tours to be too obtrusive as they don’t stay in one spot for very long and I had time to linger.  I liked seeing some of the buildings covered in scaffolding in various stages of repair.,Aug 2018 • Solo,5.0 of 5 bubbles
Art Nouveau everywhere!,"A wonderful area to walk round, v quiet and quite beautiful altho a number of the buildings are being renovated there are stunning examples if Art Nouveau I'm looking forward to visiting the museum, it was closed today Monday's. There is Art Nouveau everywhere in Riga but lots around here.",Sep 2018,5.0 of 5 bubbles
Beautiful Art Nouveau buildings,"It is a wonderful area of Riga, I wish, though, that traffic would be banned or reduced;  hordes of tourists and their guides also spoil the view and the contemplation of these works of architectural art, especially in the mornings and afternoons when cruise ships come in. If you travel individually, check out the best times to visit the sights without the hordes.",Aug 2018 • Friends,4.0 of 5 bubbles
A must see! Stunning!,"For all the Art Nouveau buildings you’ll see just walking around Riga (and there are many outstanding examples), this street and Elizabeth street are just jaw dropping. It’s worth doing some research before hand, to understand what art Nouveau is, and why Riga is so important in the Art Nouveau universe. You can take a tour-and I’m sure you’ll learn quite a bit, but the Museum of Art Nouveau has several self-guided walking tours on their website you can print out. I really needed to take my time on these streets-just to absorb what I was seeing!!! Just spectacular!",Aug 2018,5.0 of 5 bubbles
Beautiful art nouveau buildings,"Several of the buildings were being renovated when we were there so the scaffolding and construction equipment made it difficult to see all of the buildings, but what we did see was very impressive. Hopefully it will only get better with time once renovations are done.",Aug 2018 • Family,4.0 of 5 bubbles
Jugendstil aficionados’ dream,"While Art Nouveau buildings abound in Riga, this particular street with its consistent extravagance is quite unequalled and superb. (A better camera would do justice...)",Aug 2018 • Couples,5.0 of 5 bubbles
Beautiful Art Nouveau,We walked all around the area of Alberta and Elizabeta Sts and were impressed by the intricate sculptures and friezes on these buildings. Worth a visit,Aug 2018 • Couples,5.0 of 5 bubbles
Art nouveau street,"The street is very cool, unfortunately many buildings were under repair during our visit. If some tours pass by this street becomes easily crowded. It is a nice visit to see many art nouveau buildings, definitely worth a stop. Many of the buildings aren’t original and have been restored, but still worth the visit.",Aug 2018 • Couples,4.0 of 5 bubbles
Art Nouveau architecture and nice building deco inside and outside of buildings,"You need to explore the inside and outside of buildings in this street. It may help with a tour guide. We just visited by ourselves and found an interesting museum showing old lifestyles of Riga. However, that is a short term exhibition until end of July 2018.",Jul 2018 • Family,4.0 of 5 bubbles
